name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
trending-repositories,https://github.com/Semigradsky/trending-repositories,Semigradsky,4,4,0,0,2015-01-26T19:45:53Z
trip-to-iOS,https://github.com/Aufree/trip-to-iOS,Aufree,3327,3327,996,0,2015-01-02T08:18:53Z
twofactorauth,https://github.com/jdavis/twofactorauth,jdavis,599,599,473,34,2014-03-13T20:20:07Z
type-findings,https://github.com/charlespeters/type-findings,charlespeters,12,12,0,0,2014-08-18T01:34:10Z
universities-on-github,https://github.com/filler/universities-on-github,filler,22,22,20,0,2012-07-26T16:50:18Z
WebComponents-Polymer-Resources,https://github.com/matthiasn/WebComponents-Polymer-Resources,matthiasn,7,7,1,0,2014-08-20T11:29:37Z
webcomponents-the-right-way,https://github.com/mateusortiz/webcomponents-the-right-way,mateusortiz,719,719,42,5,2014-10-17T17:35:14Z
webdevresourcecuration,https://github.com/lwakefield/webdevresourcecuration,lwakefield,1,1,0,0,2014-10-04T03:52:59Z
web-dev-resources,https://github.com/ericandrewlewis/web-dev-resources,ericandrewlewis,15,15,3,0,2014-09-06T09:36:35Z
web-development-resources,https://github.com/MasonONeal/web-development-resources,MasonONeal,1,1,0,0,2014-07-15T06:43:12Z
weekly,https://github.com/zenany/weekly,zenany,520,520,121,0,2014-05-11T06:31:58Z
WishThereWas,https://github.com/zavelevsky/WishThereWas,zavelevsky,39,39,2,2,2015-04-22T11:24:47Z
Worth-Reading-the-Android-technical-articles,https://github.com/zmywly8866/Worth-Reading-the-Android-technical-articles,zmywly8866,272,272,121,0,2014-08-22T04:55:56Z
awesome-2048-and-beyond,https://github.com/cstrap/awesome-2048-and-beyond,cstrap,8,8,6,0,2014-03-21T08:06:53Z
awesome-a11y,https://github.com/brunopulis/awesome-a11y,brunopulis,41,41,5,0,2015-05-10T03:55:12Z
awesome-acf,https://github.com/reyhoun/awesome-acf,navidkashani,142,142,16,2,2014-10-01T17:03:38Z
awesome-activeadmin,https://github.com/serradura/awesome-activeadmin,serradura,77,77,6,0,2014-07-16T03:09:14Z
awesome-algorithms,https://github.com/tayllan/awesome-algorithms,tayllan,777,777,108,0,2014-07-16T18:10:01Z
awesome-analytics,https://github.com/onurakpolat/awesome-analytics,onurakpolat,186,186,51,9,2014-07-08T07:58:39Z
awesome-android,https://github.com/Jackgris/awesome-android,Jackgris,8,8,3,0,2014-07-10T14:17:14Z
awesome-android,https://github.com/JStumpp/awesome-android,JStumpp,1244,1244,238,1,2014-07-13T01:39:20Z
awesome-android,https://github.com/snowdream/awesome-android,snowdream,2280,2280,545,0,2014-09-12T06:04:40Z
awesome-android-awesomeness,https://github.com/yongjhih/awesome-android-awesomeness,yongjhih,20,20,2,0,2015-07-26T06:19:42Z
awesome-android-libraries,https://github.com/wasabeef/awesome-android-libraries,wasabeef,1309,1309,264,6,2014-10-28T14:22:59Z
awesome-android-ui,https://github.com/wasabeef/awesome-android-ui,wasabeef,8505,8505,1973,16,2014-12-24T01:45:03Z
awesome-angular,https://github.com/hugoleodev/awesome-angular,hugoleodev,12,12,0,0,2014-07-16T15:55:29Z
awesome-angularjs,https://github.com/gianarb/awesome-angularjs,gianarb,858,858,113,1,2014-08-27T18:47:31Z
awesome-answers,https://github.com/jugoncalves/awesome-answers,jugoncalves,183,183,24,0,2015-03-23T16:11:08Z
awesome-apple,https://github.com/joeljfischer/awesome-apple,joeljfischer,432,432,63,2,2014-07-14T17:37:47Z
awesome-appsec,https://github.com/paragonie/awesome-appsec,paragonie,944,944,51,9,2015-04-30T21:18:31Z
awesome-arabic,https://github.com/OthmanAba/awesome-arabic,OthmanAba,4,4,0,0,2014-07-21T10:56:18Z
awesome-asciidoc,https://github.com/bodiam/awesome-asciidoc,bodiam,9,9,0,0,2014-11-17T13:59:54Z
awesome-asciidoctor,https://github.com/dongwq/awesome-asciidoctor,dongwq,2,2,0,0,2014-08-14T17:53:24Z
awesome-asm,https://github.com/mat0thew/awesome-asm,mat0thew,12,12,7,1,2014-12-19T22:45:01Z
awesome-AutoHotkey,https://github.com/ahkscript/awesome-AutoHotkey,ahkscript,93,93,22,1,2014-08-04T18:34:15Z
awesome-avr,https://github.com/fffaraz/awesome-avr,fffaraz,10,10,6,0,2014-07-28T16:42:46Z
awesome-backbone,https://github.com/instanceofpro/awesome-backbone,instanceofpro,241,241,23,0,2014-12-05T10:17:38Z
awesome-bem,https://github.com/floatdrop/awesome-bem,getbem,20,20,3,2,2014-08-29T06:32:50Z
awesome-bigdata,https://github.com/onurakpolat/awesome-bigdata,onurakpolat,2262,2262,526,0,2014-07-04T15:01:03Z
Awesome-Bioinformatics,https://github.com/danielecook/Awesome-Bioinformatics,danielecook,10,10,3,0,2014-08-27T00:59:21Z
awesome-bootstrap,https://github.com/therebelrobot/awesome-bootstrap,therebelrobot,119,119,6,1,2014-08-05T20:17:05Z
awesome-c,https://github.com/kozross/awesome-c,kozross,815,815,100,3,2014-12-14T21:24:24Z
awesome-cakephp,https://github.com/FriendsOfCake/awesome-cakephp,FriendsOfCake,271,271,79,1,2014-07-30T08:42:56Z
awesome-cassandra,https://github.com/yikebocai/awesome-cassandra,yikebocai,0,0,1,0,2014-07-23T00:29:47Z
awesome-chef,https://github.com/obazoud/awesome-chef,obazoud,16,16,4,0,2014-09-18T07:43:36Z
awesome-ci,https://github.com/pditommaso/awesome-ci,pditommaso,2,2,0,0,2014-10-03T18:52:58Z
awesome-cl,https://github.com/kozross/awesome-cl,CodyReichert,180,180,13,3,2014-12-28T23:03:27Z
awesome-clojure,https://github.com/razum2um/awesome-clojure,razum2um,389,389,46,1,2014-07-09T15:27:44Z
awesome-cloud,https://github.com/JStumpp/awesome-cloud,JStumpp,15,15,8,0,2014-07-13T00:54:53Z
awesome-cloud-storage,https://github.com/wapmorgan/awesome-cloud-storage,wapmorgan,3,3,0,0,2014-08-20T15:48:11Z
awesome-code-formatters,https://github.com/rishirdua/awesome-code-formatters,rishirdua,2,2,1,0,2014-10-16T22:20:00Z
awesome-coldfusion,https://github.com/seancoyne/awesome-coldfusion,seancoyne,22,22,9,0,2014-07-18T02:03:57Z
