name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated,last_push
bookmarks,https://github.com/phpvietnam/bookmarks,phpvietnam,1,0,1,1,2014-11-09T09:55:31Z,2014-11-13T03:10:17Z
php-must-watch,https://github.com/phptodayorg/php-must-watch,phptodayorg,262,1805,135,1,2015-10-11T02:33:43Z,2015-10-04T04:56:19Z
PlacesToPostYourStartup,https://github.com/mmccaff/PlacesToPostYourStartup,mmccaff,76,769,94,1,2015-10-10T01:34:31Z,2015-10-06T18:29:46Z
post-mortems,https://github.com/danluu/post-mortems,danluu,122,1798,65,10,2015-10-11T14:34:26Z,2015-10-09T21:20:52Z
programmers-proverbs,https://github.com/AntJanus/programmers-proverbs,AntJanus,58,477,46,12,2015-10-11T22:44:54Z,2015-08-25T12:15:08Z
programming-talks,https://github.com/hellerve/programming-talks,hellerve,66,420,46,0,2015-10-08T16:16:36Z,2015-10-09T09:08:34Z
Projects,https://github.com/karan/Projects,karan,892,8416,4649,13,2015-10-12T00:01:53Z,2015-10-04T13:33:09Z
pycrumbs,https://github.com/kirang89/pycrumbs,kirang89,292,2114,565,5,2015-10-11T18:10:54Z,2015-10-07T11:08:27Z
py-must-watch,https://github.com/s16h/py-must-watch,s16h,209,1967,165,21,2015-10-10T13:05:42Z,2015-10-04T03:00:55Z
python-github-projects,https://github.com/checkcheckzz/python-github-projects,checkcheckzz,33,143,19,0,2015-10-10T23:12:59Z,2015-10-05T03:31:32Z
pythonidae,https://github.com/svaksha/pythonidae,svaksha,33,263,50,0,2015-10-11T01:05:58Z,2015-10-09T05:02:04Z
python-must-watch,https://github.com/primalpop/python-must-watch,primalpop,2,7,0,0,2015-08-23T07:36:57Z,2014-07-18T14:54:39Z
python_reference,https://github.com/rasbt/python_reference,rasbt,145,1359,215,0,2015-10-11T00:44:27Z,2015-09-02T02:46:56Z
Qix,https://github.com/ty4z2008/Qix,ty4z2008,313,1633,707,0,2015-10-11T14:47:23Z,2015-10-11T07:57:10Z
queues.io,https://github.com/strzalek/queues.io,lukaszx0,45,670,99,29,2015-10-11T19:34:20Z,2015-09-21T15:12:50Z
